op_command,op_string,op_data_type,op_short_description,op_long_description,op_optional,op_in_out,op_group,op_postion,op_default_text,op_default_int
./bwa mem,-D,double,Drop chain threashold,drop chains shorter than FLOAT fraction of the longest overlapping chain [0.50],,,,1,,
./bwa mem,-W,int,Discard chain threshold,discard a chain if seeded bases shorter than INT [0],,,,1,,
./bwa mem,-m,int,max mate rescue rounds,perform at most INT rounds of mate rescues for each read [50],,,,1,,
./bwa mem,-S,,skip mate rescue,skip mate rescue,,,,1,,
./bwa mem,-P,,Skip pairing, skip pairing; mate rescue performed unless -S also in use,,,,1,,
./bwa mem,-e,,discard full length exactmatches,discard full-length exact matches,,,,1,,
./bwa mem,-A,int,Score for sequence match,"score for a sequence match, which scales options -TdBOELU unless overridden [1]",,,,1,,
./bwa mem,-B,int,penalty for a mismatch,penalty for a mismatch [4],,,,1,,
./bwa mem,-O,int,gap open penalty,"gap open penalties for deletions and insertions [6,6]",,,,1,,
./bwa mem,-E,int,gap extension penalty,"INT[,INT]  gap extension penalty; a gap of size k cost '{-O} + {-E}*k' [1,1]",,,,1,,
./bwa mem,-L,int,clipping penalty,"penalty for 5'- and 3'-end clipping [5,5]",,,,1,,
./bwa mem,-U,int,penalty for an unpaired read pair,penalty for an unpaired read pair [17],,,,1,,
./bwa mem,-x,string,"Reade type (pacbio, pbread)","read type. Setting -x changes multiple parameters unless overriden [null]
                     pacbio: -k17 -W40 -r10 -A2 -B5 -O2 -E1 -L0
                     pbread: -k13 -W40 -c1000 -r10 -A2 -B5 -O2 -E1 -N25 -FeaD.001",,,,1,,
./bwa mem,-p,,First query file,first query file consists of interleaved paired-end sequences,,,,1,,
./bwa mem,-R,string,Read group header,read group header line such as '@RG\tID:foo\tSM:bar' [null],,,,1,,
./bwa mem,-v,int,Verbose level,"verbose level: 1=error, 2=warning, 3=message, 4+=debugging [3]",,,,1,,
./bwa mem,-T,int,minimum score,minimum score to output [30],,,,1,,
./bwa mem,-h,int,ouput all XA,"if there are <INT hits with score >80% of the max score, output all in XA [5]",,,,1,,
./bwa mem,-a,,output all alignments ,output all alignments for SE or unpaired PE,,,,1,,
./bwa mem,-C,,append  comment ,append FASTA/FASTQ comment to SAM output,,,,1,,
./bwa mem,-Y,,use soft clipping ,use soft clipping for supplementary alignments,,,,1,,
./bwa mem,-M,,mark shorter split as secondary,mark shorter split hits as secondary,,,,1,,
./bwa mem,-I,souble,specify the mean,"FLOAT[,FLOAT[,INT[,INT]]]  specify the mean, standard deviation (10% of the mean if absent), max  (4 sigma from the mean if absent) and min of the insert size distribution. FR orientation only. [inferred]",,,,1,,
./bwa aln,-n ,int,,,,,,1,,
./bwa aln,-o ,int,,,,,,1,,
./bwa aln,-e ,int,,,,,,1,,
./bwa aln,-d ,int,,,,,,1,,
./bwa aln,-i ,int,,,,,,1,,
./bwa aln,-t ,int,,,,,,1,,
./bwa aln,-q ,int,,,,,,1,,
./bwa aln, ,string,,,,,,2,,
./bwa sampe,-a ,int,,,,,,1,,
./bwa sampe,-o ,int,,,,,,1,,
./bwa sampe,-P ,,,,,,,1,,
./bwa sampe,-n ,int,,,,,,1,,
./bwa sampe,-N ,int,,,,,,1,,
./bwa sampe,-r ,int,,,,,,1,,
./bwa sampe,>,string,,,,,,2,,
./bwa sampe,,string,,,,,,2,,
